Position,Streams,Date,Region,Track ID
4,3588146,2017-02-13,global,4aWmUDTfIPGksMNLV2rQP2
44,1181792,2017-02-13,global,0KKkJNfGyhkQ5aFogxQAPU
1,7511927,2017-02-14,global,7qiZfU4dY1lWllzX7mPBI3
2,4375267,2017-02-14,global,3NdDpSvN911VPGivFlV5d0
4,3681350,2017-02-14,global,4aWmUDTfIPGksMNLV2rQP2
33,1410962,2017-02-14,global,0KKkJNfGyhkQ5aFogxQAPU
1,7558862,2017-02-15,global,7qiZfU4dY1lWllzX7mPBI3
2,4464989,2017-02-15,global,3NdDpSvN911VPGivFlV5d0
4,3663965,2017-02-15,global,4aWmUDTfIPGksMNLV2rQP2
29,1607421,2017-02-15,global,0KKkJNfGyhkQ5aFogxQAPU
1,7573141,2017-02-16,global,7qiZfU4dY1lWllzX7mPBI3
2,4484617,2017-02-16,global,3NdDpSvN911VPGivFlV5d0
4,3723591,2017-02-16,global,4aWmUDTfIPGksMNLV2rQP2
28,1667444,2017-02-16,global,0KKkJNfGyhkQ5aFogxQAPU
35,1457790,2017-02-16,global,3eR23VReFzcdmS7TYCrhCe
1,7985803,2017-02-17,global,7qiZfU4dY1lWllzX7mPBI3
2,4595854,2017-02-17,global,3NdDpSvN911VPGivFlV5d0
4,3926265,2017-02-17,global,4aWmUDTfIPGksMNLV2rQP2
5,3459225,2017-02-17,global,3eR23VReFzcdmS7TYCrhCe
28,1757489,2017-02-17,global,0KKkJNfGyhkQ5aFogxQAPU
1,7855366,2017-02-18,global,7qiZfU4dY1lWllzX7mPBI3
2,4459314,2017-02-18,global,3NdDpSvN911VPGivFlV5d0
3,3984724,2017-02-18,global,4aWmUDTfIPGksMNLV2rQP2
5,3530290,2017-02-18,global,3eR23VReFzcdmS7TYCrhCe
27,1748712,2017-02-18,global,0KKkJNfGyhkQ5aFogxQAPU
1,6879577,2017-02-19,global,7qiZfU4dY1lWllzX7mPBI3
2,3955354,2017-02-19,global,3NdDpSvN911VPGivFlV5d0
4,3442664,2017-02-19,global,3eR23VReFzcdmS7TYCrhCe
5,3433179,2017-02-19,global,4aWmUDTfIPGksMNLV2rQP2
23,1626177,2017-02-19,global,0KKkJNfGyhkQ5aFogxQAPU
1,7193281,2017-02-20,global,7qiZfU4dY1lWllzX7mPBI3
2,4164333,2017-02-20,global,3NdDpSvN911VPGivFlV5d0
3,3989854,2017-02-20,global,3eR23VReFzcdmS7TYCrhCe
5,3446415,2017-02-20,global,4aWmUDTfIPGksMNLV2rQP2
19,1819826,2017-02-20,global,0KKkJNfGyhkQ5aFogxQAPU
1,7266474,2017-02-21,global,7qiZfU4dY1lWllzX7mPBI3
2,4321207,2017-02-21,global,3eR23VReFzcdmS7TYCrhCe
3,4213507,2017-02-21,global,3NdDpSvN911VPGivFlV5d0
5,3515067,2017-02-21,global,4aWmUDTfIPGksMNLV2rQP2
18,1928231,2017-02-21,global,0KKkJNfGyhkQ5aFogxQAPU
1,7317633,2017-02-22,global,7qiZfU4dY1lWllzX7mPBI3
2,4475891,2017-02-22,global,3eR23VReFzcdmS7TYCrhCe
3,4200056,2017-02-22,global,3NdDpSvN911VPGivFlV5d0
5,3539998,2017-02-22,global,4aWmUDTfIPGksMNLV2rQP2
18,2004210,2017-02-22,global,0KKkJNfGyhkQ5aFogxQAPU
1,7758898,2017-02-24,global,7qiZfU4dY1lWllzX7mPBI3
2,4752225,2017-02-24,global,6RUKPb4LETWmmr3iAEQktW
3,4636834,2017-02-24,global,3eR23VReFzcdmS7TYCrhCe
4,4271609,2017-02-24,global,3NdDpSvN911VPGivFlV5d0
6,3864731,2017-02-24,global,4aWmUDTfIPGksMNLV2rQP2
19,2182349,2017-02-24,global,0KKkJNfGyhkQ5aFogxQAPU
1,7632460,2017-02-25,global,7qiZfU4dY1lWllzX7mPBI3
2,4460815,2017-02-25,global,6RUKPb4LETWmmr3iAEQktW
3,4344325,2017-02-25,global,3eR23VReFzcdmS7TYCrhCe
4,4069844,2017-02-25,global,3NdDpSvN911VPGivFlV5d0
5,3905945,2017-02-25,global,4aWmUDTfIPGksMNLV2rQP2
18,2121753,2017-02-25,global,0KKkJNfGyhkQ5aFogxQAPU
1,6583478,2017-02-26,global,7qiZfU4dY1lWllzX7mPBI3
2,3949869,2017-02-26,global,6RUKPb4LETWmmr3iAEQktW
3,3823181,2017-02-26,global,3eR23VReFzcdmS7TYCrhCe
4,3565795,2017-02-26,global,3NdDpSvN911VPGivFlV5d0
6,3276346,2017-02-26,global,4aWmUDTfIPGksMNLV2rQP2
17,1955523,2017-02-26,global,0KKkJNfGyhkQ5aFogxQAPU
1,6873096,2017-02-27,global,7qiZfU4dY1lWllzX7mPBI3
2,4374275,2017-02-27,global,6RUKPb4LETWmmr3iAEQktW
3,4237313,2017-02-27,global,3eR23VReFzcdmS7TYCrhCe
4,3760395,2017-02-27,global,3NdDpSvN911VPGivFlV5d0
6,3344986,2017-02-27,global,4aWmUDTfIPGksMNLV2rQP2
15,2086000,2017-02-27,global,0KKkJNfGyhkQ5aFogxQAPU
1,7059172,2017-02-28,global,7qiZfU4dY1lWllzX7mPBI3
2,4517368,2017-02-28,global,6RUKPb4LETWmmr3iAEQktW
3,4454192,2017-02-28,global,3eR23VReFzcdmS7TYCrhCe
4,3852601,2017-02-28,global,3NdDpSvN911VPGivFlV5d0
6,3451927,2017-02-28,global,4aWmUDTfIPGksMNLV2rQP2
15,2237827,2017-02-28,global,0KKkJNfGyhkQ5aFogxQAPU
1,7201132,2017-03-01,global,7qiZfU4dY1lWllzX7mPBI3
2,4581789,2017-03-01,global,6RUKPb4LETWmmr3iAEQktW
3,4529714,2017-03-01,global,3eR23VReFzcdmS7TYCrhCe
4,3898610,2017-03-01,global,3NdDpSvN911VPGivFlV5d0
6,3501514,2017-03-01,global,4aWmUDTfIPGksMNLV2rQP2
16,2315111,2017-03-01,global,0KKkJNfGyhkQ5aFogxQAPU
1,7326148,2017-03-02,global,7qiZfU4dY1lWllzX7mPBI3
2,4649721,2017-03-02,global,6RUKPb4LETWmmr3iAEQktW
3,4639832,2017-03-02,global,3eR23VReFzcdmS7TYCrhCe
4,3896382,2017-03-02,global,3NdDpSvN911VPGivFlV5d0
6,3567240,2017-03-02,global,4aWmUDTfIPGksMNLV2rQP2
12,2542408,2017-03-02,global,0KKkJNfGyhkQ5aFogxQAPU
1,9891056,2017-03-03,global,7qiZfU4dY1lWllzX7mPBI3
3,4565531,2017-03-03,global,3eR23VReFzcdmS7TYCrhCe
4,4547924,2017-03-03,global,6RUKPb4LETWmmr3iAEQktW
5,3886422,2017-03-03,global,3NdDpSvN911VPGivFlV5d0
6,3743414,2017-03-03,global,4aWmUDTfIPGksMNLV2rQP2
18,2768426,2017-03-03,global,0KKkJNfGyhkQ5aFogxQAPU
1,9603434,2017-03-04,global,7qiZfU4dY1lWllzX7mPBI3
3,4346145,2017-03-04,global,3eR23VReFzcdmS7TYCrhCe
4,4199867,2017-03-04,global,6RUKPb4LETWmmr3iAEQktW
6,3794182,2017-03-04,global,4aWmUDTfIPGksMNLV2rQP2
7,3709558,2017-03-04,global,3NdDpSvN911VPGivFlV5d0
18,2657609,2017-03-04,global,0KKkJNfGyhkQ5aFogxQAPU
1,8454962,2017-03-05,global,7qiZfU4dY1lWllzX7mPBI3
4,3859430,2017-03-05,global,3eR23VReFzcdmS7TYCrhCe
5,3733406,2017-03-05,global,6RUKPb4LETWmmr3iAEQktW
6,3295754,2017-03-05,global,3NdDpSvN911VPGivFlV5d0
8,3269009,2017-03-05,global,4aWmUDTfIPGksMNLV2rQP2
17,2437891,2017-03-05,global,0KKkJNfGyhkQ5aFogxQAPU
1,8900049,2017-03-07,global,7qiZfU4dY1lWllzX7mPBI3
4,4378230,2017-03-07,global,3eR23VReFzcdmS7TYCrhCe
5,4241126,2017-03-07,global,6RUKPb4LETWmmr3iAEQktW
7,3525550,2017-03-07,global,3NdDpSvN911VPGivFlV5d0
10,3249614,2017-03-07,global,4aWmUDTfIPGksMNLV2rQP2
15,2788764,2017-03-07,global,0KKkJNfGyhkQ5aFogxQAPU
1,8738426,2017-03-08,global,7qiZfU4dY1lWllzX7mPBI3
3,4355526,2017-03-08,global,3eR23VReFzcdmS7TYCrhCe
5,4190621,2017-03-08,global,6RUKPb4LETWmmr3iAEQktW
6,3555972,2017-03-08,global,3NdDpSvN911VPGivFlV5d0
10,3245142,2017-03-08,global,4aWmUDTfIPGksMNLV2rQP2
14,2815958,2017-03-08,global,0KKkJNfGyhkQ5aFogxQAPU
1,8695555,2017-03-09,global,7qiZfU4dY1lWllzX7mPBI3
3,4522225,2017-03-09,global,3eR23VReFzcdmS7TYCrhCe
4,4297129,2017-03-09,global,6RUKPb4LETWmmr3iAEQktW
6,3622811,2017-03-09,global,3NdDpSvN911VPGivFlV5d0
8,3339221,2017-03-09,global,4aWmUDTfIPGksMNLV2rQP2
12,2913759,2017-03-09,global,0KKkJNfGyhkQ5aFogxQAPU
1,8849461,2017-03-10,global,7qiZfU4dY1lWllzX7mPBI3
3,4580325,2017-03-10,global,3eR23VReFzcdmS7TYCrhCe
4,4352601,2017-03-10,global,6RUKPb4LETWmmr3iAEQktW
6,3682760,2017-03-10,global,3NdDpSvN911VPGivFlV5d0
7,3580554,2017-03-10,global,4aWmUDTfIPGksMNLV2rQP2
11,3019539,2017-03-10,global,0KKkJNfGyhkQ5aFogxQAPU
1,8664792,2017-03-11,global,7qiZfU4dY1lWllzX7mPBI3
2,4476081,2017-03-11,global,3eR23VReFzcdmS7TYCrhCe
4,4194847,2017-03-11,global,6RUKPb4LETWmmr3iAEQktW
5,3784801,2017-03-11,global,4aWmUDTfIPGksMNLV2rQP2
7,3597187,2017-03-11,global,3NdDpSvN911VPGivFlV5d0
9,3078419,2017-03-11,global,0KKkJNfGyhkQ5aFogxQAPU
1,7642879,2017-03-12,global,7qiZfU4dY1lWllzX7mPBI3
3,3980692,2017-03-12,global,3eR23VReFzcdmS7TYCrhCe
4,3749812,2017-03-12,global,6RUKPb4LETWmmr3iAEQktW
6,3246673,2017-03-12,global,4aWmUDTfIPGksMNLV2rQP2
7,3178280,2017-03-12,global,3NdDpSvN911VPGivFlV5d0
9,2831200,2017-03-12,global,0KKkJNfGyhkQ5aFogxQAPU
1,7855284,2017-03-13,global,7qiZfU4dY1lWllzX7mPBI3
3,4252564,2017-03-13,global,3eR23VReFzcdmS7TYCrhCe
4,4030370,2017-03-13,global,6RUKPb4LETWmmr3iAEQktW
6,3311938,2017-03-13,global,3NdDpSvN911VPGivFlV5d0
8,3188396,2017-03-13,global,4aWmUDTfIPGksMNLV2rQP2
9,3026045,2017-03-13,global,0KKkJNfGyhkQ5aFogxQAPU
1,7721959,2017-03-14,global,7qiZfU4dY1lWllzX7mPBI3
2,4224010,2017-03-14,global,3eR23VReFzcdmS7TYCrhCe
4,4022323,2017-03-14,global,6RUKPb4LETWmmr3iAEQktW
6,3298190,2017-03-14,global,3NdDpSvN911VPGivFlV5d0
7,3269897,2017-03-14,global,4aWmUDTfIPGksMNLV2rQP2
9,3010366,2017-03-14,global,0KKkJNfGyhkQ5aFogxQAPU
1,7704578,2017-03-15,global,7qiZfU4dY1lWllzX7mPBI3
2,4294933,2017-03-15,global,3eR23VReFzcdmS7TYCrhCe
4,4037428,2017-03-15,global,6RUKPb4LETWmmr3iAEQktW
5,3355894,2017-03-15,global,3NdDpSvN911VPGivFlV5d0
7,3295321,2017-03-15,global,4aWmUDTfIPGksMNLV2rQP2
9,3102627,2017-03-15,global,0KKkJNfGyhkQ5aFogxQAPU
1,7668500,2017-03-16,global,7qiZfU4dY1lWllzX7mPBI3
2,4380000,2017-03-16,global,3eR23VReFzcdmS7TYCrhCe
4,4080722,2017-03-16,global,6RUKPb4LETWmmr3iAEQktW
5,3376905,2017-03-16,global,4aWmUDTfIPGksMNLV2rQP2
6,3373566,2017-03-16,global,3NdDpSvN911VPGivFlV5d0
9,3143060,2017-03-16,global,0KKkJNfGyhkQ5aFogxQAPU
1,7889417,2017-03-17,global,7qiZfU4dY1lWllzX7mPBI3
2,4373847,2017-03-17,global,3eR23VReFzcdmS7TYCrhCe
4,4111140,2017-03-17,global,6RUKPb4LETWmmr3iAEQktW
5,3638055,2017-03-17,global,4aWmUDTfIPGksMNLV2rQP2
6,3394281,2017-03-17,global,3NdDpSvN911VPGivFlV5d0
8,3187815,2017-03-17,global,0KKkJNfGyhkQ5aFogxQAPU
1,7765409,2017-03-18,global,7qiZfU4dY1lWllzX7mPBI3
2,4213104,2017-03-18,global,3eR23VReFzcdmS7TYCrhCe
3,3989872,2017-03-18,global,6RUKPb4LETWmmr3iAEQktW
5,3773816,2017-03-18,global,4aWmUDTfIPGksMNLV2rQP2
6,3278268,2017-03-18,global,3NdDpSvN911VPGivFlV5d0
8,3144263,2017-03-18,global,0KKkJNfGyhkQ5aFogxQAPU
